अँगड़ाई	yawn  
गाँधीवाद	Gandhism
गाँव	Village
गाँवों	Villages
गांजालॆज	Gonzalez
गांधर्वी	Angel
गांधी	Gandhi
गांधीगिरी	Principles of Gandhi
गांधीजी	Gandhiji
गांधीनगर	Gandhinagar
गांव	Village
गांववालॊं	Villagers
गांववालों	Villagers
गांवॊं	Villages
गांवों	Villages
गाइड	Guide
गाइडॆंस	Guidance
गाइडेंस	Guidance
गाए	Sang
गाएं	Cows
गाजर	Carrot
गाजिपुर	Ghajipur
गाजियाबाद	Ghajiyabad
गाजीपुर	Ghajipur
गाड़ी	Vehicle
गाणे	Songs
गाता	Sing
गाते	Sing
गाना	Sing
गानॆ	Sing
गाने	Sing
गानों	Songs
गान्धी	Gandhi
गाय	Cow
गायक	Singer
गायत्री	Gayatri
गायब	Invisible
गाया	Sang
गायिका	Singer
गारंटी	Guarantee
गार्ड	Guard
गार्डनर	Gardener
गार्डन्स	Garden
गार्सिया	Garcia
गालियाँ	Curse
गालियॊं	Curse
गालियों	Curse
गाली	Curse
गालीलेओ	Galileo
गावसकर	Gavaskar
गासिप	Gossip
गाड़ी	Vehicle
गिनती	Counting
गिबसन	Gibson
गिब्स	Gibbs
गिर	Fall
गिरता	Fall
गिरतॆ	Fall
गिरते	Fall
गिरनॆ	Fall
गिरने	Fall
गिरफ़्तार	Arrest
गिरफ़्तारियाँ	Arrest
गिरफ्तार	Arrest
गिरफ्तारी	Arrest
गिरा	Fall
गिराए	Fall
गिरानॆ	Fall
गिराने	Fall
गिराया	Fall
गिरावट	Decrease
गिरि	Giri
गिरिराज	Giriraj
गिरिराजजॊशि	Giriraj joshi
गिरिराजजोशी	Giriraj joshi
गिरिश	Girish
गिरी	Fall
गिरीश	Girish
गिरॆ	Fall
गिरे	Fall
गिरेगा।	Fall
गिरॊह	Band
गिरोह	Band
गिरौदपुरि	Giraudpuri
गिरौदपुरी	Giraudpuri
गिलक्रिस्ट	Gilchrist
गिलहरि	Squirrels
गिलहरियों	Squirrels
गिलहरी	Squirrel
गिलास	Glass
गिलेस्पी	Gillespie
गिल्बर्ट	Gilbert
गिविंग	Giving
गिविन्ग	Giving
गीत	Song
गीतकार	Singer
गीतपर्व	Verse
गीतमाला	Album
गीता	Geetha
गीतांजली	Gitanjali
गीतिका	Song
गीतों	Songs
गुंजन	Gunjan
गुंजाइश	Scope
गुजजु	Gujju
गुजर	Pass
गुजरतॆ	Pass
गुजरना	Pass
गुजरने	Pass
गुजरात	Gujarat
गुजराति	Gujarati
गुजराती	Gujarati
गुजराल	Gujral
गुज्जु	Gujju
गुट	Group
गुटनिरपेक्ष	Group
गुटॊं	Groups
गुटों	Groups
गुड	Egg
गुडियॊं	Brides
गुण	Quality
गुणता	Quality
गुणवत्ता	Quality
गुणात्मक	Quality
गुणों	Quality
गुना	Multiply
गुप्त	Secret
गुप्ता	Gupta
गुप्ते	Secret
गुफा	Cave
गुरु	Teacher
गुरुकुल	Gurukul
गुरुजी	Master
गुरुजीको	Master
गुरुदयाल	Master
गुरुदॆव	Master
गुरुवार	Thursday
गुरू	Teacher
गुल	Dimple
गुलज़ार	Guljaar
गुलजार	Guljaar
गुलजारबाग	Guljaarbagh
गुलजा़र	Guljaar
गुलमॊहर	Gulmohar
गुलमोहर	Gulmohar
गुलशन	Gulshan
गुल़ज़ार	Guljaar
गुलाब	Rose
गुलाबि	Pink
गुलाबी	Pink
गुलाम	Slave
गुलामी	Slavery
गुलज़ार	Guljaar
गुलज़ारबाग	Guljaarbagh
गुवाहाटि	Guwahati
गुवाहाटी	Guwahati
गुस्सा	Anger
गुस्से	Angry
गुड़	Jaggery
गुड़गांव	Gudgeon
गुड़िया	Doll
गुड़ियों	Doll
गूँज	Echo
गूंज	Echo
गूंजने	Echo
गूगल	Google
गृह	Home
गृहमंत्री	Home minister
गृहयुद्ध	Homefight
गॅलिलियो	Galileo
गॆंद	Ball
गॆंदबाजि	Bowl
गॆंदॆं	Balls
गॆटवॆ	Gateway
गॆटस	Gates
गेंद	Ball
गेंदबाज	Bowler
गेंदबाज़ी	Bowling
गेंदबाजी	Bowling
गेंदबाजों	Bowlers
गेंदें	Balls
गेंदों	Balls
गेट	Gate
गेटवे	Gateway
गेट्स	Gates
गेब्रियेल	Gabriel
गेम	Game
गेम्स	Games
गेल	Gayle
गेहूँ	Wheat
गेहूं	Wheat
गैप	Gap
गैर	Allen
गैलरी	Gallery
गैलिलियो	Galileo
गैलेक्सी	Galaxy
गैस	Gas
गैसॊं	Gas
गैसों	Gas
गॉडफ्रे	Godfrey
गॉफ	Gough
गॊकलॆ	Gokale
गॊदावरि	Godavari
गॊपाल	Gopal
गॊपालदास	Gopaldas
गॊपाळराव	Gopalrao
गॊपिनात	Gopinath
गॊयल	Goyal
गॊरकपुर	Gorakhpur
गॊरकपुरि	Gorakhpuri
गॊरडन	Gordon
गॊलि	Marble
गॊलियां	Marble
गॊविंद	Govind
गॊविंदसिंह	Govindsinh
गॊविंदाचारय	Govindacharya
गॊसवामि	Goswami
गोआ	Goa
गोखले	Gokhale
गोद	Lap
गोदावरी	Godavari
गोधरा	Godhra
गोपनीय	Secret
गोपनीयता	Secrecy
गोपाल	Gopal
गोपालदास	Gopaldas
गोपाळराव	Gopalrao
गोपीनाथ	Gopinath
गोयल	Goyal
गोरखपुर	Gorakhpur
गोरखपुरी	Gorakhpuri
गोरखा	Gorakha
गोरिल्ला	Gorilla
गोर्डन	Gordon
गोल	Goal
गोलकीपर	Goalkeeper
गोलघर	Goal
गोलरहित	Goalless
गोला	Sphere
गोलियाँ	Bullets
गोलियां	Bullets
गोली	Bullet
गोलीबारी	Shooting
गोले	Bombs
गोलों	Bombs
गोल्ड	Gold
गोल्डन	Golden
गोल्फ	Golf
गोवा	Goa
गोविंद	Govind
गोविंदसिंह	Govindsinh
गोविंदा	Govinda
गोविंदाचार्य	Govindacharya
गोवित्रिकर	Govitrikar
गोविन्द	Govind
गोशन	Goshan
गोष्ट	Ghost
गोस्वामी	Goswami
गोहाटी	Gowhati
गौतम	Goutam
गौतमि	Gouthami
गौतमी	Gouthami
गौर	See
गौरतलब	Heck
गौरव	Pride
गौरवशाली	Proud
गौरवसॊलंकि	Gauravsolanki
गौरवसोलंकी	Gauravsolanki
गौरी	Gouri
ग्यारह	Eleven
ग्रंथ	Book
ग्रंथालय	Library
ग्रस्त	Affected
ग्रह	Planet
ग्रहण	Eclipse
ग्रांड	Grand
ग्रान्ड	Grand
ग्राफ	Graph
ग्राम	Village
ग्रामीण	Villager
ग्रामीणों	Villagers
ग्राहक	Customer
ग्राहकी	Customers
ग्राहकों	Customers
ग्राहम	Graham
ग्राफ़	Graph
ग्रीक	Greek
ग्रीटिंग्स	Greetings
ग्रीन	Green
ग्रीनलैंड	Greenlined
ग्रीनहाउस	Greenhouse
ग्रीन्सबर्ग	Greensberg
ग्रीष्म	Cold
ग्रीस	Grease
ग्रीसचे	Grease
ग्रॅहॅम	Graham
ग्रे	Grey
ग्रेग	Greg
ग्रेगरी	Gregory
ग्रेगोरी	Gregory
ग्रेट	Great
ग्रेटर	Greater
ग्रेड	Grade
ग्रेनेड	Grenade
ग्रैंड	Grand
ग्रोवर	Grover
ग्लेशियर	Glacier
ग्लैमर	Glamor
ग्लैमरस	Glamorous
ग्लॉस्टरशायर	Gloustershire
ग्लोब	Globe
ग्लोबल	Global
ग्वालियर	Gwalior
गज़नी	Ghajini
गज़ल	Ghajal
गड़बड़	Confusing
गड़े	Clocks
गढ़	Bastion
घंटा	Hour
घंटियों	Bell
घंटी	Bell
घंटे	Hours
घंटों	Hours
घई	Ghai
घटक	Part
घटकर	Decrement
घटती	Decrease
घटना	Incident
घटनाएँ	Incidences
घटनाएं	Incidences
घटनाओं	Incidences
घटनाक्रम	Affair
घटनायें	Incidences
घटनास्थल	Venue
घटने	Incidents
घटा	Decreased
घटाकर	Decrement
घटिया	Waste
घड़ी	Watch
घन	Dense
घनत्व	Density
घबरा	Tentative
घबराती	Tentative
घमासान	Horrific
घर	House
घरवालों	Family
घरों	Homes
घाघरा	Dress
घाट	Valley
घाटी	Valley
घाटे	Valley
घातक	Dangerous
घाना	Ghana
घायल	Injured
घाव	Wound
घास	Grass
घी	Ghee
घुटने	Knee
घुटनों	Knees
घुमाएंगे	Visit
घुमाया	Visit
घुस	Enter
घुसने	Enter
घुसपैठ	Intruder
घूम	Reel
घूमता	Circulate
घूमती	Circulate
घूमते	Circulate
घूमने	Circulate
घृणा	Hate
घेर	Surround
घेरा	Surround
घेराबंदी	Surrounded
घोंसला	Nest
घोटाला	Shamble
घोटाले	Shambles
घोड़ा	Horse
घोड़े	Horses
घोडे	Horses
घोर	Dark
घोल	Solution
घोष	Gosh
घोषणा	Announcement
घोषणाएँ	Announcements
घोषित	Announced
घोड़े	Horses
घड़ी	Watch
चँपियन्स	Champions
चंडीगढ	Chandigarh
चंडीगढ़	Chandigarh
चंडीगढ़	Chandigarh
चंद	Few
चंदन	Sandalwood
चंदु	Chandu
चंदू	Chandu
चंद्र	Moon
चंद्रपूर	Chandrapur
चंद्रभूषण	Chandrabhushan
चंद्रमा	Moon
चंद्रशेखर	Chandrasekhar
चकमा	Outwit
चकित	Surprised
चक्र	Circular
चक्रधर	Chakradhar
चक्रधरसिंह	Chakradharsimh
चक्रबर्ती	Emperor
चक्रवर्ती	Emperor
चटनी	Pickle
चटपटा	Frustrated
चटर्जी	Chatterjee
चटर्जी।	Chatterjee
चट्टोपाध्याय	Chattopadhyaya
चढने	Climb
चढ़	Climb
चढ़ा	Climb
चढ़े	Climb
चतुर	Intelligent
चतुरत	Intelligent
चतुर्थी	chaturdhi
चतुर्वेदी	Chaturvedi
चना	Gram
चने	Grams
चन्द्र	Moon
चन्द्रगुप्त	ChandraGupt
चन्द्रनिगाहपुर	Chandranigahpur
चन्द्रबिन्दु	Chandrabindu
चन्द्रमा	Moon
चन्द्रलालपुर	Chandralalpur
चन्द्रशेखर	Chandrashekhar
चपरासि	Servant
चमक	Shine
चमकती	Shining
चमकदार	Shining
चमकनॆ	Shining
चमकने	Shining
चमका	Shine
चमत्कार	Magic
चमत्कारी	Magician
चम्बल	Chambal
चम्मच	Spoon
चयन	Selection
चयनित	Selected
चरक	Charak
चरखा	Spinning Wheel
चरण	Feet
चरणों	Feet
चरम	Peak
चरित्र	History
चर्च	Church
चर्चगेट	Churchgate
चर्चा	Discussion
चर्चाको	Discussion
चर्चित	Mentioned
चर्चिल	Churchill
चर्म	Skin
चल	Walk
चलकर	Walk
चलकॆ	Walk
चलता	Walk
चलती	Walk
चलतॆ	Walk
चलते	Walk
चलन	Trend
चलना	Walk
चलनॆ	Walk
चलने	Walk
चला	Walked
चलाइए	Walk
चलाई	Run
चलाईं	Run
चलाए	Walk
चलाएं	Walk
चलाएगा	Walk
चलातॆ	Run
चलाते	Run
चलाना	Run
चलानॆ	Run
चलाने	Run
चलाया	Ran
चलिए	Walk
चलिये	Walk
चली	Walk
चलॆं	Walk
चले	Walk
चलें	Walk
चलेंगे	Walk
चलेगा	Walk
चलेगी	Walk
चलो	Lets go
चवालिस	Forty Four
चवालीस	Forty Four
चव्हाण	Chauhan
चशमॆं	Glasses
चश्मा	Glasses
चश्में	Glasses
चाँद	Moon
चाँदनी	Moon
चाँदी	Silver
चांटॊ	Chanting
चांद	Moon
चांदनी	Moonlight
चांदी	Silver
चाइना	China
चाइनीज़	Chinese
चाइल्ड	Child
चाकलॆट	Chocolate
चाकलेट	Chocolate
चाकु	Knife
चाकू	Knife
चाचा	Uncle
चाची	Aunt
चाणक्य	Chanakya
चाद	Chad
चादर	Bed sheet
चान्द	Moon
चामाराजानगर	Chamaraja nagar
चाय	Tea
चार	Four
चारपाई	Carpet
चारा	Way
चारॊं	All four
चारों	All four
चार्ज	Charge
चार्टर	Charter
चार्ली	Charlie
चार्ल्स	Charles
चाल	Ploy
चालक	Driver
चालीस	Forty
चालु	Clever
चालू	Clever
चावल	Rice
चावला	Chawla
चाह	Want
चाहत	Interest
चाहता	Want
चाहती	Want
चाहतॆ	Wants
चाहते	Want
चाहना	Want
चाहनॆ	Want
चाहने	Want
चाहा	Want
चाहिए	Want
चाहियॆ	Want
चाहिये	Want
चाहे	Like
चाहेंगे	Like
चाहेगा	Like
चाहो	Like
चाॅकलेट	Chocolate
चिंगारियां	Sparks
चिंतन	Think
चिंता	Worry
चिंताएं	Worries
चिंताओं	Worries
चिंतामणि	Chintamani
चिंतित	Worried
चिंमयानंद	Chinmayanand
चिकित्सक	Doctor
चिकित्सकों	Doctors
चिकित्सा	Treatment
चिकित्साशास्त्र	Medicine
चिगुम्बरा	Chigumbara
चिट्ठा	Details
चिट्ठाः	list
चिट्ठियां	Letters
चिट्ठी	Letter
चिडिया	Bird
चित्र	Picture
चित्रकला	Drawing
चित्रकार	Artist
चित्रकूट	Chitrakoot
चित्रण	Depiction
चित्रपट	Portrait
चित्रलेखा	Drawing
चित्रहार	Collection of movies
चित्रा	Chitra
चित्रित	Depicted, Picturised
चित्रों	Pictures
चिदंबरम	Chidambaram
चिदंबरम्	Chidambaram
चिदानंद	Chidanand
चिन्तन	Think
चिन्ता	Worry
चिन्ताएं	Worries
चिन्मयानंद	Chinmayanand
चिन्ह	Symbol
चिप	Hide
चिपचिपॆ	Hiding
चिपनॆ	Hide
चिपानॆ	To hide
चिपॆ	Hidden
चिरंजीव	Long live
चिलि	Chile
चिल्लाने	Shout
चिड़िया	Bird
चिड़ियां	Birds
चीकी	Cheeky
चीज	Thing
चीज़	Thing
चीज़ें	Things
चीज़ों	Things
चीजें	Things
चीजों	Things
चीन	China
चीनी	Sugar
चीफ	Chief
चुंबक	Magnet
चुआंग	Chuang
चुका	Returned
चुकाने	To return
चुकी	Returned
चुकॆ	Had
चुके	Had
चुटकी	Quick
चुटकुला	Joke
चुटकुलॆ	Jokes
चुटकुले	Jokes
चुड	Escape
चुडाए	Escape
चुडानॆ	To get someone out
चुन	Choose
चुननॆ	Choose
चुनने	Choose
चुना	Chose,Chosen
चुनाव	election
चुनावी	Election
चुनावॊं	Elections
चुनावों	Elections
चुनिंदा	Elected
चुनिए	Elect
चुनी	Chosen
चुनॆ	Chosen
चुने	Chosen
चुनौतियॊं	Challenges
चुनौतियों	Challenges
चुनौती	Challenge
चुनौतीपूर्ण	Challengeful
चुप	Silent
चुपकॆ	silent
चुपके	silent
चुपचाप	silent
चुपानॆ	To hide
चुपि	Hidden
चुप्पी	Silence
चुराएं	To steal
चुराना	Steal
चूँकि	Because
चूंकि	Because
चूक	Decieved
चूमा	Touch
चूल्हा	Stove
चूहा	Rat
चूहे	Rats
चूहों	Rats
चॆतन	Motivation
चॆहरॆ	Faces
चेक	Cheque
चेकोस्लोवाकिया	Czechoslovakia
चेतन	Motivation
चेतना	Motivation
चेतावनी	Warning
चेन्नई	Chennai
चेम्बरलेन	Chamberlane
चेयरमैन	Chairman
चेल्सी	Chelsea
चेहरा	Face
चेहरे	Face
चेहरों	Faces
चैंपियंस	Champions
चैंपियन	Champion
चैंपियनशिप	Championship
चैंप्स	Champs
चैन	Ease
चैनल	Channel
चैनलों	Channels
चैनल्स	Channels
चैपल	Chappel
चैम्पियंस	Champions
चैम्पियन	Champion
चैम्पियनशिप	Championship
चैलॆंज	Challenge
चैलेंज	Challenge
चैलेंजर	Challenge
चॉकलेट	Chocolate
चॊट	Wound
चॊटानागपुर	Chota Nagpur
चॊटु	Small
चॊटॆ	Small
चॊड	Leave
चॊडकर	Left
चॊडनॆ	To leave
चॊडॆंगॆ	Will leave
चॊडॊ	Leave
चॊरॊं	Thieves
चोट	Wound
चोटी	Peak
चोर	Thief
चोरी	Theft
चोरों	Thieves
चौंकनॆ	Astonished
चौंकाने	Suddenly
चौंतीस	Thirty-four
चौंसठ	Sixty-four
चौक	Astonished
चौकी	Watchful
चौके	Fours
चौकों	Fours
चौथा	Fourth
चौथाई	One fourth
चौथी	Fourth
चौथे	Fourth
चौदरि	Chowdary
चौदह	Fourteen
चौदहवाँ	Fourteenth
चौबीस	Twenty four
चौरानवॆ	Ninety-four
चौरानवे	Ninety-four
चौरासी	Eighty-four
चौवन	Fifty-four
चौहत्तर	Seventy-four
चौहान	Chauhan
च्यालेन्ज	Challenge
चढ़	Climb
चढ़ा	Climb
चढ़ेगी	Climb
छः	Six
छक्के	Sixer
छठा	Sixth
छठी	Sixth
छठे	Sixth
छड़ी	whip
छत	Roof
छत्	Roof
छत्तिसगढ	Chattisgarh
छत्तीस	Thrity six
छत्तीसगढ	Chattisgarh
छत्तीसगढ़	Chattisgarh
छत्तीसगढ़	Chhatisgarh
छत्रपती	Sivaji
छप	Print
छपता	print
छपाइये	print
छपी	Print
छप्पन	Fifty six
छब्बीस	Twenty six
छलनी	Filter
छलांग	Bounce
छल्ले	Rings
छवि	Image
छवी	Sixth
छह	Six
छाई	Spread
छाए	Spread
छाओ	Spread
छाती	Chest
छात्र	Student
छात्रवृत्ति	Student
छात्रा	Student
छात्रों	Students
छानबीन	Investigation
छाप	Print
छापते	Print
छापने	Print
छापा	Print
छापामार	Raid
छापामारों	Raids
छापे	Raids
छापें	Raids
छापों	Printings
छाया	Shadow
छायाचित्र	Photograph
छायाचित्रकार	Photographer
छायाचित्रे	Photographs
छिप	Hide
छिपछिपे	Hide
छिपने	Hide
छिपा	Hidden
छिपाने	Hide
छिपाया	Hide
छिपे	Hidden
छियानवे	Ninety six
छियालीस	Forty six
छियासठ	Sixty six
छियासी	Eighty six
छिहत्तर	Seventy six
छीन	Snatch
छीलिए	shave
छु	Touch
छुट	omit
छुटकारा	Relief
छुट्टन	relief
छुट्टियां	Holiday
छुट्टियों	Holiday
छुट्टी	Holiday
छुट्टे	tips
छुड़ाए	discharge
छुड़ाने	discharge
छुड़ाया	discharge
छुप	Hide
छुपा	Hide
छुपाने	Hide
छुपी	Hidden
छू	Touch
छूट	Free
छूटी	Free
छूने	Touch
छे	six
छेड़	tease
छेड़ते	tease
छेड़ने	tease
छेड़ा	tease
छेड़े	tease
छेडी	tease
छेद	Hole
छेड़ने	tease
छेड़ी	tease
छोटा	Small
छोटी	Small
छोटू	Small
छोटे	Small
छोटो	Small
छोड	Discard
छोड़	Discard
छोड़कर	Except
छोड़ना	Leave
छोड़ने	Leave
छोड़ा	Left
छोड़ी	Left
छोड़े	Left
छोड़ेंगे	leave
छोड़ेगा	leave
छोड़ो	leave
छोडा	leave
छोर	Corner
छोड़	Discard
छोड़कर	Except
छोड़ना	Leave
छोड़ने	Leave
छोड़ा	Left
छोड़ी	Left
छोड़ें	Leave
छोड़ो	Leave
जंक	junk
जंक्	junk
जंग	War
जंगल	Forest
जंगलि	uncivilized
जंगली	uncivilized
जंगलॊं	Forests
जंगलों	Forests
जंतु	Animal
जकार्ता	Jakarta
जख्मी	Injured
जग	world
जगजित	Jagjit
जगजीत	Jagjit
जगत	World
जगति	World
जगती	World
जगत्	World
जगदिश	Jagdeesh
जगदिशपरसाद	Jagdeesh Prasad
जगदिशबाटिय	Jagdeesh Bhatia
जगदीप	Jagdeep
जगदीश	Jagdeesh
जगदीशभाटिया	Jagdeesh Prasad
जगन्नाथ	Jagannath
जगमॊहन	Jagmohan
जगमोहन	Jagmohan
जगह	Place
जगहों	Places
जगाउन	Places
जगाचय	Place
जगाच्या	Place
जगातॆ	awake
जगाते	awake
जगुआर	Jaguar
जज	Judge
जज्बा	Intention
जञात	know
जञान	knowledge
जञानकॊश	treasure of knowledge
जञानजॊत	light of knowledge
जञानपरकाश	Gyan Prakash
जञानपिट	Gyanpeeth
जञानरंजन	knowledge
जञानसंदुक	violation
जञानॆंदर	Gyanendra
जञानॆंदरकॊ	Gyanendra
जञानॆशवर	possessing knowledge
जञानॆशवरि	possessing knowledge
जञानॊदय	enlightenment
जञापन	remembering
जटिल	Complicated
जड़	root
जड़ें	root
जता	understand
जताई	understand
जताते	understand
जताय	understand
जताया	understand
जन	Person
जनक	father
जनकपुर	Janakpur
जनकपुरि	Janakpuri
जनकपुरी	Janakpuri
जनकलयान	welfare of people
जनकल्याण	welfare of people
जनकवि	people's poet
जनगणना	census
जनगनतव	census
जनगनन	census
जनघनत्व	census
जनजाति	tribe
जनजातिय	tribal
जनजातीय	tribal
जनजीवन	daily life
जनता	People
जननि	mother
जननी	mother
जनप्रिय	beloved
जनम	birth
जनमत	People opinion
जनरल	General
जनरलॊं	General
जनरलों	General
जनवरि	January
जनवरी	January
जनसंकय	Population
जनसंख्या	Population
जनसंघ	society
जनसंचार	crowd
जनसंहार	mass killing
जनसंहारक	mass killer
जनाब	sir
जनॆऊ	sacrificial thread
जनेऊ	sacrificial thread
जन्	people
जन्तु	animal
जन्म	Birth
जन्मदाता	Parent
जन्मदिन	Birthday
जन्मदिनको	Birthday
जन्मदिनमा	Birthday
जन्मदिवस	Birthday
जन्मभूमिः	Birthplace
जन्माष्टमी	Janmashtami
जन्मे	Born
जन्मोत्सव	birthday
जपान	Japan
जपानचॆ	Japan
जपानचे	Japan
जपानि	Japanese
जपानी	Japanese
कब	When
जबकि	Then
जबरदसत	Excellent
जबरदस्त	Excellent
जबरन	Forced
जबर्दस्त	Excellent
जबलपुर	Jabalpur
जबसॆ	from then
जबसे	from then
जबान	Promise
जबानि	Promise
जबानी	Promise
जब्त	Seize
जमकर	fitting
जममु	Jammu
जमशॆद	Jamshed
जमशॆदजि	Jamshedji
जमशॆदपुर	Jamshedpur
जमशेद	Jamshed
जमशेदजी	Jamshedji
जमशेदपुर	Jamshedpur
जमा	Submit
जमानत	Bail
जमानतॊं	Bail
जमाना	collect
जमानॆ	collect
जमाने	collect
जमाय	collect
जमाया	collect
जमीन	Field
जमुई	Jamui
जमैका	Jamica
जमैकाचॆ	Jamica
जमैकाचे	Jamica
जम्मू	Jammu
जम्शेदपुर	Jamshedpur
जय	win
जयंत	welfare
जयंति	anniversary
जयंती	anniversary
जयचंद	Jai Chand
जयजयकार	praise
जयदॆव	Jayadev
जयदेव	Jayadev
जयनंदन	Jaya Nandan
जयनगर	Jaynagar
जयन्त	Jayanth
जयन्ति	Jayanth
जयपरकाश	Jaya prakash
जयपुर	Jaipur
जयप्रकाश	Jaya prakash
जयमाल	Jaya mala
जयमाला	Jaya mala
जयललिता	Jaya lalitha
जयशंकर	Jaya Shankar
जयशरि	Jayashree
जयश्री	Jayashree
जयसूर्या	Jayasurya
जया	Jaya
जयुलियस	Julius
जयॆशट	elder
जयॊति	light
जयॊतिराव	Jyoti Rao
जयॊतिश	Astrologer
जयॊतिशशासतराचॆ	Astrology
जयॊतिशहरुकॊ	Astrologer
जरकॊनियम	Zirconium
जरमन	German
जरमनि	Germany
जरमॆनियम	Germanium
जरसि	Jersey
जरा	Little
जरास	Little
जरासा	Little
जरिए	Medium
जरिया	Medium
जरिये	Medium
जरुर	Must
जरुरत	Need
जरुरतॊं	Need
जरुरि	Must
जरुरी	Must
जरूर	Must
जरूरत	Need
जरूरतों	Need
जरूरी	Must
जर्कोनियम	Zirconium
जर्दा	scented tobacco
जर्मन	German
जर्मनी	Germany
जर्मेनियम	Germanium
जर्सी	jersey
जल	Water
जलतॆ	burn
जलते	burn
जलद	fast
जलदबाजि	Hurry
जलदि	fast
जलन	burning
जलना	burning
जलव	burning
जलवा	burning
जलवायु	climate
जला	Burn
जलाओ	Burn
जलाने	Burn
जलाय	Burn
जलाया	Burn
जलायॆ	Burn
जलाये	Burn
जलियाँवाला	Jallianwalah
जलियांवाल	Jallianwalah
जलियांवाला	Jallianwalah
जले	burn
जल्	water
जल्द	Quick
जल्दबाजी	Hurry
जल्दी	Quickly
जवलंत	burning
जवागल	Javagal
जवान	Young
जवानि	Youth
जवानिय	Youth
जवानी	Youth
जवानॊं	Youngsters
जवानों	Youngsters
जवाब	Reply
जवाबि	Reply
जवाबी	Reply
जवालामुकि	volacano
जवाहर	Jawahar
जवाहरलाल	Jawahar Lal
जशपुर	Jashpur
जश्न	Celebration
जसट	just
जसटिन	Justin
जसटिस	justice
जसदॆव	Jasdev
जसदेव	Jasdev
जसपाल	Jaspal
जसराज	Jasraj
जसवंत	Jaswant
जस्ट	just
जस्टिस	justice
जस्टीन	Justin
जहर	Poison
जहरिलि	poisonous
जहरिलॆ	poisonous
जहरीली	poisonous
जहरीले	poisonous
जहाँ	There
जहां	Jehangir
जहांगिर	Jehangir
जहांगीर	Jehangir
जहांनाम	Jahanama
जहांनामा	Jahanama
जहाज	Ship
जहाज़	Ship
जहान	where
जहिर	Jaheer
जहीर	Jaheer
ज़बान	tongue
ज़माना	time
ज़माने	time
ज़मीन	Field
ज़रा	little
ज़रिए	apart
ज़रीस	apart
ज़रुरत	requirement
ज़रूर	must
ज़रूरत	requirement
ज़रूरी	must
ज़हर	poison
ज़ाम्बिया	Zambia
ज़िंदगी	life
ज़िंदा	alive
ज़िक्	mention
ज़िक्र	mention
ज़िन्दग़ी	life
ज़िन्दगी	life
ज़िम्बाबवे	Zimbabwe
ज़िम्बाब्वे	Zimbabwe
ज़िम्मेदार	Responsible
ज़िम्मेदारी	Responsibility
ज़िले	district
ज़ीवन	life
ज़ुल्फिकार	Zulfikar
ज़ुल्फों	hair
ज़ोर	loud
ज़्यादा	many
ज़्यादातर	Mostly
ज़्यूरिख़	Zurich
जा	Go
जाँ	Go
जाँच	Check
जांकिए	know, find out
जांग	knowing
जांच	Check
जांचकरत	Check
जांचकरताओं	Check
जांचकर्ता	Check
जांचकर्ताओं	Check
जांबिय	Zambia
जांसन	Johnson
जाइए	Go
जाइयॆ	Go
जाइये	Go
जाईन	Jain
जाउंगा	Go
जाऊँ	Go
जाऊँगी	Go
जाऊं	Go
जाऊंगि	Go
जाए	Go
जाएँ	Go
जाएँगी	Go
जाएँगे	Go
जाएं	Go
जाएंगी	Go
जाएंगॆ	Go
जाएंगे	Go
जाएग	Go
जाएगा	Go
जाएगि	Go
जाएगी	Go
जाओ	Go
जाओं	Go
जाओंगॆ	Go
जाओंगे	Go
जाओगॆ	Go
जाओगे	Go
जाकर	Go
जाकिर	Zakir
जाग	Wakeup
जागता	Awake
जागतिक	Awake
जागनॆ	Awake
जागने	Awake
जागरण	Awakening
जागरन	Awakening
जागरुकता	Awareness
जागरूकता	Awareness
जागिए	awake
जागिर	manor
जागीर	manor
जागृत	Awakening
जागृति	Awakening
जागॆ	awake
जागे	awake
जागे।	awake
जाचक	check
जाड	winter
जात	Caste
जाता	Go
जाति	Caste
जातिं	Caste
जातिय	national
राष्ट्रीय	national
उद्यान	park
मूर्तिकला	sculptures
मंदिर	temple
देवी	goddess
पाक विधि	Cuisine
गज	elephant
यात्रा	tour travel
सौंदर्य	beauty
नैसर्गिक	virgin
गणेशोत्सव	ganesh festival
किलें	fort
शक्तिशाली	mighty
पहाड़ी	hill
दर्शनीय	site
स्थल place station

जातियॊं	Castes
जातियों	Castes
जातिवाद	racism
जाती	go
जातीं	go
जातीय	Communal
जातॆ	go
जाते	go
जादु	Magic
जादुई	Magic
जादुगर	Magician
जादुगरनि	Witch
जादुगरनी	Witch
जादू	Magic
जादूगर	Magician
जान	Life
जानकर	Known
जानकार	Knowledgeable
जानकारि	Information
जानकारिक	Information
जानकारियां	Informations
जानकारियॊं	Informations
जानकारियों	Informations
जानकारी	Information
जानकारीका	Information
जानत	Know
जानता	Know
जानति	Know
जानती	Know
जानतॆ	Know
जानते	Know
जानन	Know
जानना	Know
जाननॆ	Know
जानने	Know
जानलॆव	Horrible
जानलेवा	Horrible
जानवर	Animal
जानवरॊं	Animal
जानवरों	Animals
जाना	Go
जानां	Go
जानिए	Know
जानॆ	let
जानॆं	let
जानॆमन	dear
जाने	dear
जानें	dear
जानेमन	dear
जानॊ	understand
जानो	understand
जाप	praying
जापड	slap
जापान	Japan
जापानबासि	Japanese
जापानबासी	Japanese
